Canción ,Álbum,Compositor oficial,Compositor principal,clasificación
The Word,Rubber Soul,Lennon-McCartney,Lennon-McCartney,Favorita
Things we said today,A Hard Day’s Night,Lennon-McCartney,McCartney,Favorita
Things we said today,A Hard Day’s Night,Lennon-McCartney,McCartney,Favorita
Ticket to ride,Help!,Lennon-McCartney,Lennon,Mejor canción
Ticket to ride,Help!,Lennon-McCartney,Lennon,Mejor canción
Tomorrow never knows,Revolver,Lennon-McCartney,Lennon,Mejor canción
Tomorrow never knows,Revolver,Lennon-McCartney,Lennon,Mejor canción
Tomorrow never knows,Revolver,Lennon-McCartney,Lennon,Mejor canción
Tomorrow never knows,Revolver,Lennon-McCartney,Lennon,Mejor canción
Tomorrow never knows,Revolver,Lennon-McCartney,Lennon,Favorita
Tomorrow never knows,Revolver,Lennon-McCartney,Lennon,Mejor canción
Tomorrow never knows,Revolver,Lennon-McCartney,Lennon,Mejor canción
Tomorrow never knows,Revolver,Lennon-McCartney,Lennon,Mejor canción
Tomorrow never knows,Revolver,Lennon-McCartney,Lennon,Favorita
Tomorrow never knows,Revolver,Lennon-McCartney,Lennon,Mejor canción
Tomorrow never knows,Revolver,Lennon-McCartney,Lennon,Mejor canción
Tomorrow never knows,Revolver,Lennon-McCartney,Lennon,Mejor canción
Tomorrow never knows,Revolver,Lennon-McCartney,Lennon,Mejor canción
Twist and Shout,Please Please Me,Medley-Russell,No Beatle,Mejor canción
Twist and Shout,Please Please Me,Medley-Russell,No Beatle,Favorita
Twist and Shout,Please Please Me,Medley-Russell,No Beatle,Favorita
Twist and Shout,Please Please Me,Medley-Russell,No Beatle,Mejor canción
Twist and Shout,Please Please Me,Medley-Russell,No Beatle,Favorita
Two of us ,Let it be,Lennon-McCartney,McCartney,Favorita
Two of us ,Let it be,Lennon-McCartney,McCartney,Favorita
We can work it out,Sencillo de 1965,Lennon-McCartney,McCartney,Favorita
While my guitar gently weeps,The white album,Harrison,Harrison,Favorita
While my guitar gently weeps,The white album,Harrison,Harrison,Favorita
While my guitar gently weeps,The white album,Harrison,Harrison,Favorita
While my guitar gently weeps,The white album,Harrison,Harrison,Favorita
While my guitar gently weeps,The white album,Harrison,Harrison,Favorita
While my guitar gently weeps,The white album,Harrison,Harrison,Favorita
While my guitar gently weeps,The white album,Harrison,Harrison,Favorita
While my guitar gently weeps,The white album,Harrison,Harrison,Mejor canción
While my guitar gently weeps,The white album,Harrison,Harrison,Favorita
While my guitar gently weeps,The white album,Harrison,Harrison,Mejor canción
While my guitar gently weeps,The white album,Harrison,Harrison,Mejor canción
While my guitar gently weeps,The white album,Harrison,Harrison,Favorita
While my guitar gently weeps,The white album,Harrison,Harrison,Mejor canción
While my guitar gently weeps,The white album,Harrison,Harrison,Favorita
While my guitar gently weeps,The white album,Harrison,Harrison,Mejor canción
While my guitar gently weeps,The white album,Harrison,Harrison,Favorita
While my guitar gently weeps,The white album,Harrison,Harrison,Favorita
While my guitar gently weeps,The white album,Harrison,Harrison,Favorita
While my guitar gently weeps,The white album,Harrison,Harrison,Favorita
While my guitar gently weeps,The white album,Harrison,Harrison,Mejor canción
While my guitar gently weeps,The white album,Harrison,Harrison,Favorita
While my guitar gently weeps,The white album,Harrison,Harrison,Favorita
While my guitar gently weeps,The white album,Harrison,Harrison,Favorita
While my guitar gently weeps,The white album,Harrison,Harrison,Favorita
While my guitar gently weeps,The white album,Harrison,Harrison,Mejor canción
While my guitar gently weeps,The white album,Harrison,Harrison,Favorita
While my guitar gently weeps,The white album,Harrison,Harrison,Mejor canción
Within you without you,Sgt. Pepper’s Lonely Hearts Club Band,Harrison,Harrison,Mejor canción
Yer Blues,The white album,Lennon-McCartney,Lennon,Favorita
Yer Blues,The white album,Lennon-McCartney,Lennon,Favorita
Yesterday,Help!,Lennon-McCartney,McCartney,Favorita
Yesterday,Help!,Lennon-McCartney,McCartney,Mejor canción
Yesterday,Help!,Lennon-McCartney,McCartney,Mejor canción
Yesterday,Help!,Lennon-McCartney,McCartney,Mejor canción
Yesterday,Help!,Lennon-McCartney,McCartney,Mejor canción
Yesterday,Help!,Lennon-McCartney,McCartney,Mejor canción
You have to hide your love away,Help!,Lennon-McCartney,Lennon,Favorita
You know my name (look up the number),Sencillo de 1970,Lennon-McCartney,Lennon,Mejor canción
You know my name (look up the number),Sencillo de 1970,Lennon-McCartney,Lennon,Favorita
You like me too much,Help!,Harrison,Harrison,Favorita
You’re gonna loose that girl,Help!,Lennon-McCartney,Lennon,Favorita
You have to hide your love away,Help!,Lennon-McCartney,Lennon,Favorita
Your mother should know,Magical Mystery Tour,Lennon-McCartney,McCartney,Favorita
